
---------- Begin Simulation Statistics ----------
simSeconds                                   0.002526                       # Number of seconds simulated (Second)
simTicks                                   2525580000                       # Number of ticks simulated (Tick)
finalTick                                  2525580000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    763.75                       # Real time elapsed on the host (Second)
hostTickRate                                  3306806                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    1931108                       # Number of bytes of host memory used (Byte)
simInsts                                     92321344                       # Number of instructions simulated (Count)
simOps                                      161277872                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   120879                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     211165                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                         4655321                       # Number of cpu cycles simulated (Cycle)
system.cpu0.cpi                              0.806803                       # CPI: cycles per instruction (core level) ((Cycle/Count))
system.cpu0.ipc                              1.239460                       # IPC: instructions per cycle (core level) ((Count/Cycle))
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       11172391                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                     444                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      10750227                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  1665                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined             1092968                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined          2696285                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                174                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples            4465385                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.407458                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.495462                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::underflows               0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::0                  1570866     35.18%     35.18% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::1                   566227     12.68%     47.86% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::2                   465392     10.42%     58.28% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::3                   443305      9.93%     68.21% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::4                   461947     10.35%     78.55% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::5                   316524      7.09%     85.64% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::6                   237945      5.33%     90.97% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::7                   160209      3.59%     94.56% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::8                   242970      5.44%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::overflows                0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::min_value                0                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::max_value                8                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::total              4465385                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::No_OpClass                  0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntAlu                  39587     39.28%     39.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntMult                     0      0.00%     39.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IntDiv                      0      0.00%     39.28% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatAdd                 1702      1.69%     40.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCmp                    0      0.00%     40.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatCvt                    0      0.00%     40.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     40.97% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     40.97% # attempts to use FU when none available (Count)
